Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Tempo Stabilność,Czas,Tempo
M,M50,1721.0,5.736666666666666,3443.0,5.739999999999999,5306.0,6.21,7295.0,6.63,0.063,7762.0,6.132574859761397
M,M40,1727.0,5.756666666666666,3473.0,5.819999999999999,5317.0,6.1466666666666665,7273.0,6.52,0.0523333333333333,7763.0,6.133364936398832
M,M20,1545.0,5.15,3134.0,5.296666666666667,5039.0,6.35,7281.0,7.473333333333333,0.1604666666666666,7763.0,6.133364936398832
M,M70,1777.0,5.923333333333333,3513.0,5.786666666666666,5309.0,5.986666666666666,7301.0,6.64,0.047,7763.0,6.133364936398832
M,M40,1708.0,5.693333333333333,3434.0,5.753333333333333,5317.0,6.276666666666667,7311.0,6.6466666666666665,0.0676666666666667,7764.0,6.134155013036265
M,M40,1695.0,5.65,3408.0,5.71,5364.0,6.52,7350.0,6.62,0.0744000000000001,7764.0,6.134155013036265
K,K30,1784.0,5.946666666666667,3536.0,5.84,5377.0,6.136666666666667,7323.0,6.486666666666666,0.0383333333333334,7764.0,6.134155013036265
M,M40,1629.0,5.430000000000001,3312.0,5.61,5191.0,6.263333333333334,7264.0,6.91,0.1018666666666667,7764.0,6.134155013036265
M,M40,1850.0,6.166666666666667,3614.0,5.88,5463.0,6.163333333333333,7356.0,6.3100000000000005,0.0142666666666666,7764.0,6.134155013036265
M,M50,1889.0,6.296666666666667,3680.0,5.97,5515.0,6.116666666666666,7346.0,6.1033333333333335,-0.0086666666666666,7764.0,6.134155013036265
M,M30,1530.0,5.1,3215.0,5.616666666666666,5124.0,6.363333333333333,7308.0,7.28,0.1457333333333334,7764.0,6.134155013036265
M,M20,1774.0,5.913333333333333,3524.0,5.833333333333333,5393.0,6.23,7355.0,6.54,0.0455333333333333,7765.0,6.134945089673698
K,K30,1777.0,5.923333333333333,3480.0,5.676666666666667,5342.0,6.206666666666666,7326.0,6.613333333333333,0.0520000000000001,7765.0,6.134945089673698
M,M30,1477.0,4.923333333333333,3003.0,5.086666666666667,4816.0,6.043333333333334,7181.0,7.883333333333334,0.1967333333333334,7766.0,6.135735166311132
M,M30,1814.0,6.046666666666667,3606.0,5.973333333333333,5433.0,6.09,7337.0,6.346666666666667,0.0203333333333334,7766.0,6.135735166311132
M,M40,1798.0,5.993333333333334,3543.0,5.816666666666666,5394.0,6.17,7322.0,6.426666666666667,0.0330666666666666,7766.0,6.135735166311132
M,M30,1739.0,5.796666666666667,3441.0,5.673333333333333,5326.0,6.283333333333333,7308.0,6.6066666666666665,0.0608,7766.0,6.135735166311132
M,M50,1707.0,5.69,3425.0,5.726666666666668,5378.0,6.510000000000001,7341.0,6.543333333333334,0.0668666666666669,7766.0,6.135735166311132
M,M20,1743.0,5.8100000000000005,3410.0,5.556666666666667,5286.0,6.253333333333333,7289.0,6.676666666666667,0.0659333333333334,7766.0,6.135735166311132
